/* DATA DESCRIPTION:
Citation:	Barnet, James S K; Littler, Kate; Westerhold, Thomas; Kroon, Dick; Leng, Melanie J; Bailey, Ian; Röhl, Ursula; Zachos, James C (2018): Late Maastrichtian-early Eocene benthic stable carbon and oxygen isotope records from ODP Site 208-1262, South Atlantic [dataset]. College of Engineering, Mathematics and Physical Sciences, University of Exeter, PANGAEA, https://doi.org/10.1594/PANGAEA.884585, 
	In supplement to: Barnet, JSK et al. (2019): A High-Fidelity Benthic Stable Isotope Record of Late Cretaceous–Early Eocene Climate Change and Carbon-Cycling. Paleoceanography and Paleoclimatology, 34(4), 672-691, https://doi.org/10.1029/2019PA003556
Related to:	Barnet, James S K; Littler, Kate; Kroon, Dick; Leng, Melanie J; Westerhold, Thomas; Röhl, Ursula; Zachos, James C (2017): A new high-resolution chronology for the late Maastrichtian warming event: Establishing robust temporal links with the onset of Deccan volcanism. Geology, 46(2), 147-150, https://doi.org/10.1130/G39771.1
	Lauretano, Vittoria; Littler, Kate; Polling, M; Zachos, James C; Lourens, Lucas Joost (2015): Frequency, magnitude and character of hyperthermal events at the onset of the Early Eocene Climatic Optimum. Climate of the Past, 11(10), 1313-1324, https://doi.org/10.5194/cp-11-1313-2015
	Littler, Kate; Röhl, Ursula; Westerhold, Thomas; Zachos, James C (2014): A high-resolution benthic stable-isotope record for the South Atlantic: Implications for orbital-scale changes in Late Paleocene–Early Eocene climate and carbon cycling. Earth and Planetary Science Letters, 401, 18-30, https://doi.org/10.1016/j.epsl.2014.05.054
	McCarren, H; Thomas, E; Hasegawa, Takashi; Röhl, Ursula; Zachos, James C (2008): Depth Dependency of the Paleocene-Eocene carbon isotope excursion: Paired benthic and terrestrial biomarker records (Ocean Drilling Program Leg 208, Walvis Ridge). Geochemistry, Geophysics, Geosystems, 9(10), Q10008, https://doi.org/10.1029/2008GC002116
	Stap, Lennert Bastiaan; Lourens, Lucas Joost; Thomas, E; Sluijs, Appy; Bohaty, Steven M; Zachos, James C (2010): High-resolution deep-sea carbon and oxygen isotope records of Eocene Thermal Maximum 2 and H2. Geology, 38(7), 607-610, https://doi.org/10.1130/G30777.1
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	MEDIAN LATITUDE: -27.185827 * MEDIAN LONGITUDE: 1.576993 * SOUTH-BOUND LATITUDE: -27.186000 * WEST-BOUND LONGITUDE: 1.576980 * NORTH-BOUND LATITUDE: -27.185650 * EAST-BOUND LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T13:00:00 * DATE/TIME END: 2003-03-29T05:15:00
	MINIMUM DEPTH, sediment/rock: 87.7700 m * MAXIMUM DEPTH, sediment/rock: 212.6550 m
Event(s):	208-1262A * LATITUDE: -27.186000 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T13:00:00 * DATE/TIME END: 2003-03-26T12:40:00 * ELEVATION: -4759.0 m * PENETRATION: 161.5 m * RECOVERY: 163.53 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 17 cores; 161.5 m cored; 0 m drilled; 101.3 % recovery
	208-1262B * LATITUDE: -27.185830 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-26T12:40:00 * DATE/TIME END: 2003-03-27T21:25:00 * ELEVATION: -4753.6 m * PENETRATION: 209.9 m * RECOVERY: 212.53 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 23 cores; 209.9 m cored; 0 m drilled; 101.3 % recovery
	208-1262C * LATITUDE: -27.185650 * LONGITUDE: 1.576980 * DATE/TIME START: 2003-03-27T21:25:00 * DATE/TIME END: 2003-03-29T05:15:00 * ELEVATION: -4753.6 m * PENETRATION: 212.5 m * RECOVERY: 125.93 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 14 cores; 122.5 m cored; 90 m drilled; 102.8 % recovery
Parameter(s):	Event label (Event) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	Sample code/label (Sample label) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Depth, top/min [m] (Depth top) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: mbsf
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: vs. VPDB
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: vs. VPDB
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: midpoint mbsf
	Depth, composite [mcd] (Depth comp) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: midpoint
	AGE [ka BP] (Age) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: this study
	Reference/source (Reference) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: data
	δ18O, adjusted/corrected [‰] (δ18O) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * METHOD/DEVICE: Corrected * COMMENT: corrected to Cibicidoides
	Bottom water temperature [°C] (BWT) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: Cibicidoides
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	30928 data points
*/
Event	Sample label	Depth top [m]	Foram benth δ13C [‰ PDB]	Foram benth δ18O [‰ PDB]	Depth sed [m]	Depth comp [mcd]	Age [ka BP]	Reference	δ18O [‰]	BWT [°C]
208-1262A	208-1262A-11H-4,143-144	100.930	-0.30	-0.55	100.9350	116.9850	54034.37	Stap et al. (2010)	-0.503	12.59
208-1262A	208-1262A-11H-4,144-145	100.940	-0.26	-0.73	100.9450	116.9950	54035.44	Stap et al. (2010)	-0.711	13.53
208-1262A	208-1262A-11H-4,145-146	100.950	-0.28	-0.64	100.9550	117.0050	54036.51	Stap et al. (2010)	-0.605	13.05
208-1262A	208-1262A-11H-4,147-148	100.970	-0.64	-0.88	100.9750	117.0250	54038.64	Stap et al. (2010)	-0.880	14.31
208-1262A	208-1262A-11H-4,148-149	100.980	-0.42	-0.63	100.9850	117.0350	54039.62	Stap et al. (2010)	-0.597	13.02
208-1262A	208-1262A-11H-5,0-1	101.000	-0.53	-0.98	101.0050	117.0550	54041.41	Stap et al. (2010)	-0.990	14.81
208-1262A	208-1262A-11H-5,1-1.5	101.005	-0.39	-0.82	101.0125	117.0625	54042.12	Stap et al. (2010)	-0.811	13.99
208-1262A	208-1262A-11H-5,1.5-2	101.010	-0.29	-1.34	101.0175	117.0675	54042.57	Stap et al. (2010)	-1.388	16.65
208-1262A	208-1262A-11H-5,2-2.5	101.015	-0.43	-0.94	101.0225	117.0725	54043.01	Stap et al. (2010)	-0.946	14.60
208-1262A	208-1262A-11H-5,2.5-3	101.020	-0.68	-1.08	101.0275	117.0775	54043.46	Stap et al. (2010)	-1.096	15.29
208-1262A	208-1262A-11H-5,3-3.5	101.025	-0.56	-1.01	101.0325	117.0825	54043.90	Stap et al. (2010)	-1.024	14.96
208-1262A	208-1262A-11H-5,3.5-4	101.030	-0.31	-0.88	101.0375	117.0875	54044.35	Stap et al. (2010)	-0.879	14.30
208-1262A	208-1262A-11H-5,4-4.5	101.035	-0.79	-1.00	101.0425	117.0925	54044.80	Stap et al. (2010)	-1.013	14.91
208-1262A	208-1262A-11H-5,4.5-5	101.040	-0.78	-1.12	101.0475	117.0975	54045.24	Stap et al. (2010)	-1.145	15.52
208-1262A	208-1262A-11H-5,5-5.5	101.045	-0.88	-1.19	101.0525	117.1025	54045.69	Stap et al. (2010)	-1.228	15.91
208-1262A	208-1262A-11H-5,5.5-6	101.050	-0.89	-1.19	101.0575	117.1075	54046.13	Stap et al. (2010)	-1.220	15.87
208-1262A	208-1262A-11H-5,6-6.5	101.055	-1.00	-0.96	101.0625	117.1125	54046.58	Stap et al. (2010)	-0.965	14.69
208-1262A	208-1262A-11H-5,6.5-7	101.060	-0.76	-1.04	101.0675	117.1175	54047.03	Stap et al. (2010)	-1.058	15.12
208-1262A	208-1262A-11H-5,7-7.5	101.065	-0.78	-1.06	101.0725	117.1225	54047.47	Stap et al. (2010)	-1.079	15.22
208-1262A	208-1262A-11H-5,7.5-8	101.070	-0.71	-0.99	101.0775	117.1275	54047.92	Stap et al. (2010)	-0.996	14.83
208-1262A	208-1262A-11H-5,8-8.5	101.075	-0.10	-0.65	101.0825	117.1325	54048.36	Stap et al. (2010)	-0.618	13.11
208-1262A	208-1262A-11H-5,8.5-9	101.080	-0.78	-1.06	101.0875	117.1375	54048.81	Stap et al. (2010)	-1.082	15.23
208-1262A	208-1262A-11H-5,9-9.5	101.085	-0.76	-1.06	101.0925	117.1425	54049.26	Stap et al. (2010)	-1.084	15.24
208-1262A	208-1262A-11H-5,9.5-10	101.090	-0.73	-1.05	101.0975	117.1475	54049.70	Stap et al. (2010)	-1.073	15.19
208-1262A	208-1262A-11H-5,10-10.5	101.095	-0.91	-1.03	101.1025	117.1525	54050.15	Stap et al. (2010)	-1.045	15.06
208-1262A	208-1262A-11H-5,10.5-11	101.100	-1.01	-1.35	101.1075	117.1575	54050.59	Stap et al. (2010)	-1.408	16.74
208-1262A	208-1262A-11H-5,11-11.5	101.105	-1.10	-1.20	101.1125	117.1625	54051.04	Stap et al. (2010)	-1.239	15.96
208-1262A	208-1262A-11H-5,11.5-12	101.110	-0.82	-1.14	101.1175	117.1675	54051.48	Stap et al. (2010)	-1.165	15.61
208-1262A	208-1262A-11H-5,12-12.5	101.115	-1.17	-1.29	101.1225	117.1725	54051.93	Stap et al. (2010)	-1.333	16.39
208-1262A	208-1262A-11H-5,12.5-13	101.120	-0.72	-1.01	101.1275	117.1775	54052.38	Stap et al. (2010)	-1.020	14.94
208-1262A	208-1262A-11H-5,13-13.5	101.125	-0.91	-1.10	101.1325	117.1825	54052.79	Stap et al. (2010)	-1.119	15.40
208-1262A	208-1262A-11H-5,13.5-14	101.130	-0.94	-1.11	101.1375	117.1875	54053.18	Stap et al. (2010)	-1.139	15.49
208-1262A	208-1262A-11H-5,14-14.5	101.135	-0.68	-0.88	101.1425	117.1925	54053.58	Stap et al. (2010)	-0.873	14.27
208-1262A	208-1262A-11H-5,14.5-15	101.140	-0.02	-0.69	101.1475	117.1975	54053.97	Stap et al. (2010)	-0.660	13.30
208-1262A	208-1262A-11H-5,15-15.5	101.145	-0.05	-0.55	101.1525	117.2025	54054.36	Stap et al. (2010)	-0.506	12.61
208-1262A	208-1262A-11H-5,15.5-16	101.150	-0.14	-0.58	101.1575	117.2075	54054.75	Stap et al. (2010)	-0.535	12.74
208-1262A	208-1262A-11H-5,16-16.5	101.155	-0.07	-0.59	101.1625	117.2125	54055.15	Stap et al. (2010)	-0.548	12.79
208-1262A	208-1262A-11H-5,16.5-17	101.160	0.07	-0.67	101.1675	117.2175	54055.54	Stap et al. (2010)	-0.642	13.22
208-1262A	208-1262A-11H-5,17-17.5	101.165	-0.12	-0.76	101.1725	117.2225	54055.93	Stap et al. (2010)	-0.747	13.70
208-1262A	208-1262A-11H-5,17.5-18	101.170	-0.02	-0.65	101.1775	117.2275	54056.32	Stap et al. (2010)	-0.621	13.13
208-1262A	208-1262A-11H-5,18-18.5	101.175	0.05	-0.73	101.1825	117.2325	54056.72	Stap et al. (2010)	-0.706	13.51
208-1262A	208-1262A-11H-5,18.5-19	101.180	-0.03	-0.71	101.1875	117.2375	54057.11	Stap et al. (2010)	-0.684	13.41
208-1262A	208-1262A-11H-5,19-19.5	101.185	0.16	-0.62	101.1925	117.2425	54057.50	Stap et al. (2010)	-0.586	12.97
208-1262A	208-1262A-11H-5,19.5-20	101.190	-0.12	-0.78	101.1975	117.2475	54057.89	Stap et al. (2010)	-0.768	13.79
208-1262A	208-1262A-11H-5,20-20.5	101.195	-0.03	-0.70	101.2025	117.2525	54058.29	Stap et al. (2010)	-0.679	13.39
208-1262A	208-1262A-11H-5,20.5-21	101.200	-0.15	-1.20	101.2075	117.2575	54058.68	Stap et al. (2010)	-1.234	15.93
208-1262A	208-1262A-11H-5,21-21.5	101.205	-0.07	-0.85	101.2125	117.2625	54059.07	Stap et al. (2010)	-0.837	14.11
208-1262A	208-1262A-11H-5,21.5-22	101.210	0.00	-0.76	101.2175	117.2675	54059.46	Stap et al. (2010)	-0.742	13.67
208-1262A	208-1262A-11H-5,22-22.5	101.215	0.03	-0.65	101.2225	117.2725	54059.86	Stap et al. (2010)	-0.615	13.10
208-1262A	208-1262A-11H-5,22.5-23	101.220	-0.19	-0.83	101.2275	117.2775	54060.25	Stap et al. (2010)	-0.815	14.01
208-1262A	208-1262A-11H-5,23-23.5	101.225	-0.05	-0.73	101.2325	117.2825	54060.64	Stap et al. (2010)	-0.704	13.50
208-1262A	208-1262A-11H-5,23.5-24	101.230	0.05	-0.45	101.2375	117.2875	54061.04	Stap et al. (2010)	-0.397	12.12
208-1262A	208-1262A-11H-5,24-24.5	101.235	0.02	-0.80	101.2425	117.2925	54061.43	Stap et al. (2010)	-0.782	13.86
208-1262A	208-1262A-11H-5,24.5-25	101.240	0.07	-0.68	101.2475	117.2975	54061.82	Stap et al. (2010)	-0.657	13.29
208-1262A	208-1262A-11H-5,25-25.5	101.245	-0.08	-0.76	101.2525	117.3025	54062.21	Stap et al. (2010)	-0.736	13.65
208-1262A	208-1262A-11H-5,25.5-26	101.250	0.04	-0.80	101.2575	117.3075	54062.61	Stap et al. (2010)	-0.784	13.87
208-1262A	208-1262A-11H-5,26-26.5	101.255	0.27	-0.59	101.2625	117.3125	54063.00	Stap et al. (2010)	-0.550	12.81
208-1262A	208-1262A-11H-5,26.5-27	101.260	0.25	-0.60	101.2675	117.3175	54063.39	Stap et al. (2010)	-0.562	12.86
208-1262A	208-1262A-11H-5,27-27.5	101.265	0.18	-0.58	101.2725	117.3225	54063.78	Stap et al. (2010)	-0.543	12.78
208-1262A	208-1262A-11H-5,27.5-28	101.270	0.27	-0.50	101.2775	117.3275	54064.18	Stap et al. (2010)	-0.453	12.37
208-1262A	208-1262A-11H-5,28-28.5	101.275	0.29	-0.53	101.2825	117.3325	54064.57	Stap et al. (2010)	-0.479	12.49
208-1262A	208-1262A-11H-5,28.5-29	101.280	0.25	-0.58	101.2875	117.3375	54064.96	Stap et al. (2010)	-0.542	12.77
208-1262A	208-1262A-11H-5,29-29.5	101.285	0.34	-0.51	101.2925	117.3425	54065.35	Stap et al. (2010)	-0.460	12.40
208-1262A	208-1262A-11H-5,29.5-30	101.290	0.33	-0.32	101.2975	117.3475	54065.75	Stap et al. (2010)	-0.245	11.44
208-1262A	208-1262A-11H-5,30-31	101.300	0.26	-0.48	101.3050	117.3550	54066.30	Stap et al. (2010)	-0.423	12.24
208-1262A	208-1262A-11H-5,31-32	101.310	0.44	-0.41	101.3150	117.3650	54067.08	Stap et al. (2010)	-0.343	11.88
208-1262A	208-1262A-11H-5,32-33	101.320	0.48	-0.45	101.3250	117.3750	54067.87	Stap et al. (2010)	-0.394	12.10
208-1262A	208-1262A-11H-5,33-34	101.330	0.44	-0.42	101.3350	117.3850	54068.65	Stap et al. (2010)	-0.359	11.95
208-1262A	208-1262A-11H-5,35-36	101.350	0.45	-0.26	101.3550	117.4050	54070.22	Stap et al. (2010)	-0.180	11.15
208-1262A	208-1262A-11H-5,37-38	101.370	0.21	-0.15	101.3750	117.4250	54071.79	Stap et al. (2010)	-0.053	10.59
208-1262A	208-1262A-11H-5,39-40	101.390	0.29	-0.27	101.3950	117.4450	54073.36	Stap et al. (2010)	-0.191	11.20
208-1262A	208-1262A-11H-5,41-42	101.410	0.33	-0.13	101.4150	117.4650	54074.93	Stap et al. (2010)	-0.034	10.50
208-1262A	208-1262A-11H-5,45-46	101.450	0.38	-0.12	101.4550	117.5049	54078.07	Stap et al. (2010)	-0.020	10.44
208-1262A	208-1262A-11H-5,49-50	101.490	0.29	-0.57	101.4950	117.5444	54081.14	Stap et al. (2010)	-0.530	12.72
208-1262B	208-1262B-13H-2,1-2	106.580	0.14	-0.60	106.5850	117.5545	54081.92	Littler et al. (2014) - UCSC	-0.559	12.85
208-1262B	208-1262B-13H-2,4-5	106.610	0.37	-0.43	106.6150	117.5843	54084.28	Littler et al. (2014) - UCSC	-0.369	11.99
208-1262B	208-1262B-13H-2,7-8	106.640	0.43	-0.30	106.6450	117.6142	54086.63	Littler et al. (2014) - UCSC	-0.220	11.33
208-1262B	208-1262B-13H-2,10-11	106.670	0.47	-0.33	106.6750	117.6440	54088.99	Littler et al. (2014) - UCSC	-0.262	11.52
208-1262B	208-1262B-13H-2,16-17	106.730	0.54	-0.27	106.7350	117.7038	54093.70	Littler et al. (2014) - UCSC	-0.194	11.21
208-1262B	208-1262B-13H-2,19-20	106.760	0.48	-0.38	106.7650	117.7336	54096.06	Littler et al. (2014) - UCSC	-0.310	11.73
208-1262B	208-1262B-13H-2,25-26	106.820	0.42	-0.37	106.8250	117.7933	54100.69	Littler et al. (2014) - UCSC	-0.301	11.69
208-1262B	208-1262B-13H-2,28-29	106.850	0.37	-0.38	106.8550	117.8232	54103.04	Littler et al. (2014) - UCSC	-0.310	11.73
208-1262B	208-1262B-13H-2,31-32	106.880	0.32	-0.41	106.8850	117.8531	54105.40	Littler et al. (2014) - UCSC	-0.348	11.90
208-1262B	208-1262B-13H-2,34-35	106.910	0.33	-0.30	106.9150	117.8829	54107.76	Littler et al. (2014) - UCSC	-0.221	11.33
208-1262B	208-1262B-13H-2,37-38	106.940	0.30	-0.43	106.9450	117.9128	54110.11	Littler et al. (2014) - UCSC	-0.375	12.02
208-1262B	208-1262B-13H-2,40-41	106.970	0.32	-0.32	106.9750	117.9426	54112.47	Littler et al. (2014) - UCSC	-0.247	11.45
208-1262B	208-1262B-13H-2,43-44	107.000	0.22	-0.49	107.0050	117.9725	54114.74	Littler et al. (2014) - UCSC	-0.433	12.28
208-1262B	208-1262B-13H-2,46-47	107.030	0.23	-0.54	107.0350	118.0024	54117.10	Littler et al. (2014) - UCSC	-0.500	12.58
208-1262B	208-1262B-13H-2,49-50	107.060	0.27	-0.50	107.0650	118.0322	54119.46	Littler et al. (2014) - UCSC	-0.448	12.35
208-1262B	208-1262B-13H-2,52-53	107.090	0.17	-0.44	107.0950	118.0621	54121.81	Littler et al. (2014) - UCSC	-0.378	12.03
208-1262B	208-1262B-13H-2,55-56	107.120	-0.06	-0.80	107.1250	118.0919	54124.17	Littler et al. (2014) - UCSC	-0.789	13.89
208-1262B	208-1262B-13H-2,64-65	107.210	0.05	-0.61	107.2150	118.1815	54131.23	Littler et al. (2014) - UCSC	-0.577	12.93
208-1262B	208-1262B-13H-2,67-68	107.240	0.07	-0.61	107.2450	118.2114	54133.51	Littler et al. (2014) - UCSC	-0.576	12.92
208-1262B	208-1262B-13H-2,70-71	107.270	0.26	-0.44	107.2750	118.2412	54135.87	Littler et al. (2014) - UCSC	-0.382	12.05
208-1262B	208-1262B-13H-2,73-74	107.300	0.37	-0.31	107.3050	118.2711	54138.22	Littler et al. (2014) - UCSC	-0.230	11.37
208-1262B	208-1262B-13H-2,76-77	107.330	0.16	-0.52	107.3350	118.3009	54140.58	Littler et al. (2014) - UCSC	-0.469	12.44
208-1262B	208-1262B-13H-2,79-80	107.360	0.29	-0.38	107.3650	118.3308	54142.93	Littler et al. (2014) - UCSC	-0.316	11.76
208-1262B	208-1262B-13H-2,97-98	107.540	0.38	-0.43	107.5450	118.5100	54156.99	Littler et al. (2014) - UCSC	-0.367	11.98
208-1262B	208-1262B-13H-2,100-101	107.570	0.43	-0.39	107.5750	118.5398	54159.34	Littler et al. (2014) - UCSC	-0.324	11.79
208-1262B	208-1262B-13H-2,103-104	107.600	0.41	-0.25	107.6050	118.5697	54161.70	Littler et al. (2014) - UCSC	-0.164	11.08
208-1262B	208-1262B-13H-2,106-107	107.630	0.35	-0.32	107.6350	118.5995	54164.06	Littler et al. (2014) - UCSC	-0.250	11.46
208-1262B	208-1262B-13H-2,109-110	107.660	0.39	-0.32	107.6650	118.6294	54166.33	Littler et al. (2014) - UCSC	-0.242	11.43
208-1262B	208-1262B-13H-2,112-113	107.690	0.36	-0.37	107.6950	118.6593	54168.69	Littler et al. (2014) - UCSC	-0.301	11.69
208-1262B	208-1262B-13H-2,115-116	107.720	0.38	-0.35	107.7250	118.6891	54171.04	Littler et al. (2014) - UCSC	-0.279	11.59
208-1262B	208-1262B-13H-2,118-119	107.750	0.45	-0.33	107.7550	118.7190	54173.40	Littler et al. (2014) - UCSC	-0.263	11.52
208-1262B	208-1262B-13H-2,121-122	107.780	0.37	-0.32	107.7850	118.7488	54175.76	Littler et al. (2014) - UCSC	-0.243	11.43
208-1262B	208-1262B-13H-2,127-128	107.840	0.34	-0.31	107.8450	118.8086	54180.47	Littler et al. (2014) - UCSC	-0.239	11.41
208-1262B	208-1262B-13H-2,130-131	107.870	0.30	-0.45	107.8750	118.8384	54182.74	Littler et al. (2014) - UCSC	-0.398	12.12
208-1262B	208-1262B-13H-2,133-134	107.900	0.23	-0.42	107.9050	118.8683	54185.12	Littler et al. (2014) - UCSC	-0.364	11.97
208-1262B	208-1262B-13H-2,136-137	107.930	0.28	-0.45	107.9350	118.8981	54187.57	Littler et al. (2014) - UCSC	-0.398	12.12
208-1262B	208-1262B-13H-2,139-140	107.960	0.29	-0.36	107.9650	118.9280	54190.01	Littler et al. (2014) - UCSC	-0.288	11.63
208-1262B	208-1262B-13H-2,142-143	107.990	0.23	-0.49	107.9950	118.9578	54192.45	Littler et al. (2014) - UCSC	-0.441	12.32
208-1262B	208-1262B-13H-2,145-146	108.020	0.54	-0.34	108.0250	118.9877	54194.90	Littler et al. (2014) - UCSC	-0.267	11.54
208-1262B	208-1262B-13H-3,1-2	108.080	0.32	-0.36	108.0850	119.0474	54199.70	Littler et al. (2014) - UCSC	-0.295	11.66
208-1262B	208-1262B-13H-3,4-5	108.110	0.32	-0.40	108.1150	119.0773	54202.15	Littler et al. (2014) - UCSC	-0.340	11.86
208-1262B	208-1262B-13H-3,7-8	108.140	0.41	-0.34	108.1450	119.1072	54204.59	Littler et al. (2014) - UCSC	-0.272	11.56
208-1262B	208-1262B-13H-3,10-11	108.170	0.31	-0.29	108.1750	119.1370	54207.03	Littler et al. (2014) - UCSC	-0.211	11.29
208-1262B	208-1262B-13H-3,13-14	108.200	0.33	-0.32	108.2050	119.1669	54209.48	Littler et al. (2014) - UCSC	-0.245	11.44
208-1262B	208-1262B-13H-3,16-17	108.230	0.28	-0.39	108.2350	119.1967	54211.92	Littler et al. (2014) - UCSC	-0.322	11.78
208-1262B	208-1262B-13H-3,19-20	108.260	0.22	-0.48	108.2650	119.2266	54214.37	Littler et al. (2014) - UCSC	-0.432	12.28
208-1262B	208-1262B-13H-3,22-23	108.290	0.30	-0.48	108.2950	119.2565	54216.73	Littler et al. (2014) - UCSC	-0.425	12.24
208-1262B	208-1262B-13H-3,25-26	108.320	0.14	-0.50	108.3250	119.2863	54219.17	Littler et al. (2014) - UCSC	-0.446	12.34
208-1262B	208-1262B-13H-3,31-32	108.380	0.16	-0.50	108.3850	119.3460	54224.06	Littler et al. (2014) - UCSC	-0.453	12.37
208-1262B	208-1262B-13H-3,34-35	108.410	0.19	-0.58	108.4150	119.3759	54226.50	Littler et al. (2014) - UCSC	-0.543	12.77
208-1262B	208-1262B-13H-3,37-38	108.440	0.25	-0.49	108.4450	119.4057	54228.95	Littler et al. (2014) - UCSC	-0.439	12.30
208-1262B	208-1262B-13H-3,40-41	108.470	0.17	-0.58	108.4750	119.4356	54231.39	Littler et al. (2014) - UCSC	-0.536	12.74
208-1262B	208-1262B-13H-3,52-53	108.590	0.34	-0.35	108.5950	119.5550	54240.33	Littler et al. (2014) - UCSC	-0.286	11.62
208-1262B	208-1262B-13H-3,55-56	108.620	0.49	-0.13	108.6250	119.5849	54242.54	Littler et al. (2014) - UCSC	-0.033	10.50
208-1262B	208-1262B-13H-3,61-62	108.680	0.40	-0.28	108.6850	119.6446	54246.95	Littler et al. (2014) - UCSC	-0.199	11.23
208-1262B	208-1262B-13H-3,64-65	108.710	0.41	-0.30	108.7150	119.6745	54249.08	Littler et al. (2014) - UCSC	-0.219	11.32
208-1262B	208-1262B-13H-3,67-68	108.740	0.49	-0.25	108.7450	119.7043	54251.29	Littler et al. (2014) - UCSC	-0.165	11.08
208-1262B	208-1262B-13H-3,70-71	108.770	0.48	-0.22	108.7750	119.7342	54253.50	Littler et al. (2014) - UCSC	-0.136	10.95
208-1262B	208-1262B-13H-3,88-89	108.950	0.16	-0.41	108.9550	119.9134	54266.66	Littler et al. (2014) - UCSC	-0.350	11.91
208-1262B	208-1262B-13H-3,94-95	109.010	0.29	-0.30	109.0150	119.9731	54271.07	Littler et al. (2014) - UCSC	-0.230	11.37
208-1262B	208-1262B-13H-3,97-98	109.040	0.46	-0.30	109.0450	120.0029	54273.28	Littler et al. (2014) - UCSC	-0.221	11.33
208-1262B	208-1262B-13H-3,100-101	109.070	0.44	-0.25	109.0750	120.0328	54275.48	Littler et al. (2014) - UCSC	-0.165	11.08
208-1262B	208-1262B-13H-3,103-104	109.100	0.36	-0.30	109.1050	120.0627	54277.69	Littler et al. (2014) - UCSC	-0.225	11.35
208-1262B	208-1262B-13H-3,106-107	109.130	0.31	-0.40	109.1350	120.0925	54279.90	Littler et al. (2014) - UCSC	-0.337	11.85
208-1262B	208-1262B-13H-3,130-131	109.370	0.02	-0.64	109.3750	120.3314	54297.40	Littler et al. (2014) - UCSC	-0.602	13.04
208-1262B	208-1262B-13H-3,136-137	109.430	0.32	-0.33	109.4350	120.3911	54301.86	Littler et al. (2014) - UCSC	-0.258	11.50
208-1262B	208-1262B-13H-3,139-140	109.460	-0.01	-0.59	109.4650	120.4210	54305.55	Littler et al. (2014) - UCSC	-0.551	12.81
208-1262B	208-1262B-13H-3,142-143	109.490	0.22	-0.39	109.4950	120.4508	54309.24	Littler et al. (2014) - UCSC	-0.324	11.79
208-1262B	208-1262B-13H-3,145-146	109.520	0.23	-0.37	109.5250	120.4807	54312.93	Littler et al. (2014) - UCSC	-0.306	11.71
208-1262B	208-1262B-13H-3,148-149	109.550	0.27	-0.30	109.5550	120.5105	54316.62	Littler et al. (2014) - UCSC	-0.222	11.34
208-1262B	208-1262B-13H-4,1-2	109.580	0.33	-0.19	109.5850	120.5404	54320.19	Littler et al. (2014) - UCSC	-0.100	10.80
208-1262B	208-1262B-13H-4,4-5	109.610	0.40	-0.17	109.6150	120.5703	54323.88	Littler et al. (2014) - UCSC	-0.082	10.72
