/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas; Röhl, Ursula; Donner, Barbara; Zachos, James C (2017): (DS01) Benthic stable isotope data for ODP Site 198-1209 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.883334, 
	In supplement to: Westerhold, T et al. (2018): Global extent of early eocene hyperthermal events - a new Pacific benthic foraminiferal isotope record from Shatsky Rise (ODP Site 1209). Paleoceanography and Paleoclimatology, 33(6), 626-642, https://doi.org/10.1029/2017PA003306
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: 32.651700 * LONGITUDE: 158.505983
	DATE/TIME START: 2001-09-18T00:00:00 * DATE/TIME END: 2001-09-23T00:00:00
	MINIMUM DEPTH, sediment/rock: 148.48 m * MAXIMUM DEPTH, sediment/rock: 237.96 m
Event(s):	198-1209 * LATITUDE: 32.651700 * LONGITUDE: 158.505983 * DATE/TIME START: 2001-09-18T00:00:00 * DATE/TIME END: 2001-09-23T00:00:00 * ELEVATION: -2387.3 m * PENETRATION: 865.1 m * RECOVERY: 766 m * LOCATION: North Pacific Ocean * CAMPAIGN: Leg198 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 83 cores; 759.4 m cored; 105.7 m drilled; 100.9% recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	AGE [ka BP] (Age) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: Tuned age
	Nuttallides truempyi, δ13C [‰ PDB] (N. truempyi δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: vs. VPDB
	Nuttallides truempyi, δ18O [‰ PDB] (N. truempyi δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: vs. VPDB
	Oridorsalis umbonatus, δ13C [‰ PDB] (O. umbonatus δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: vs. VPDB
	Oridorsalis umbonatus, δ18O [‰ PDB] (O. umbonatus δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: vs. VPDB
	Analytical method (Analyt method) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: Error
	Laboratory (Lab) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	14309 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Age [ka BP]	N. truempyi δ13C [‰ PDB]	N. truempyi δ18O [‰ PDB]	O. umbonatus δ13C [‰ PDB]	O. umbonatus δ18O [‰ PDB]	Analyt method	Comment	Lab	Reference
198-1209B-18H-4,145-147	163.05	178.280	47912.902	0.1670	0.2620					Santa Cruz	this study
198-1209B-18H-5,0-2	163.11	178.340	47923.715	0.6579	-0.2480			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-18H-5,5-7	163.15	178.380	47930.923	0.2780	-0.2640	-0.205	-0.179			Santa Cruz	this study
198-1209B-18H-5,10-12	163.21	178.440	47941.736	0.7056	-0.2734			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-2,17-19	161.88	178.480	47948.944							Bremen	this study
198-1209B-18H-5,15-17	163.25	178.480	47948.944			0.014	-0.076			Santa Cruz	this study
198-1209A-18H-2,21-23	161.92	178.520	47955.519							Bremen	this study
198-1209A-18H-2,25-27	161.96	178.560	47962.093							Bremen	this study
198-1209A-18H-2,29-31	162.00	178.600	47968.668	0.6843	-0.4633			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-2,93-95	162.64	179.240	48073.860	0.6872	-0.4139			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-2,97-99	162.68	179.280	48080.434							Bremen	this study
198-1209A-18H-2,101-103	162.72	179.320	48087.009	0.8314	-0.3254			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-2,105-107	162.76	179.360	48093.583							Bremen	this study
198-1209A-18H-2,109-111	162.80	179.400	48100.158							Bremen	this study
198-1209A-18H-2,113-115	162.84	179.440	48106.733	0.7963	-0.4525			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-2,117-119	162.88	179.480	48113.307	0.7690	-0.5326			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-2,121-123	162.92	179.520	48119.882	0.7196	-0.5003			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-2,125-127	162.96	179.560	48126.456							Bremen	this study
198-1209A-18H-2,129-131	163.00	179.600	48133.031	0.7622	-0.4652			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-2,133-135	163.04	179.640	48139.605	0.7539	-0.3610			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-2,137-139	163.08	179.680	48146.180							Bremen	this study
198-1209A-18H-2,141-143	163.12	179.720	48152.754	0.9415	-0.2622			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-2,145-147	163.16	179.760	48159.329	0.8136	-0.3534			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-2,148-150	163.19	179.790	48164.260							Bremen	this study
198-1209A-18H-3,3-5	163.24	179.840	48172.478	0.8074	-0.3258			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-3,7-9	163.28	179.880	48179.052	0.7582	-0.3348			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,11-13	163.32	179.920	48185.627	0.8716	-0.2828			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,15-17	163.36	179.960	48192.201							Bremen	this study
198-1209A-18H-3,19-21	163.40	180.000	48198.776					Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-3,23-25	163.44	180.040	48205.350	0.7955	-0.4687			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-3,27-29	163.48	180.080	48211.925	0.6133	-0.8456			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,31-33	163.52	180.120	48218.499	0.9066	-0.2712			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,35-37	163.56	180.160	48225.074	0.7520	-0.4319			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-3,39-41	163.60	180.200	48231.648	0.8154	-0.3011			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,43-45	163.64	180.240	48238.223	0.7313	-0.4085			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,47-49	163.68	180.280	48244.797	0.7520	-0.4503			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,51-53	163.72	180.320	48251.372	0.8043	-0.4392			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,55-57	163.76	180.360	48257.947	0.7355	-0.4478			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,59-61	163.80	180.400	48264.521	0.7020	-0.4647			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,63-65	163.84	180.440	48271.096	0.7407	-0.5540			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,65-67	163.85	180.450	48272.739	0.3600	-0.8400					Santa Cruz	this study
198-1209A-18H-3,67-69	163.88	180.480	48277.670	0.5914	-0.6137			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,70-72	163.91	180.510	48282.601	0.6071	-0.6165			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,75-77	163.95	180.550	48289.175	0.4700	-0.8400					Santa Cruz	this study
198-1209A-18H-3,79-81	164.00	180.600	48297.394	0.6783	-0.5800			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,85-87	164.05	180.650	48305.612	0.5700	-0.7100					Santa Cruz	this study
198-1209A-18H-3,90-92	164.11	180.710	48315.474	0.8638	-0.3436			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,95-97	164.15	180.750	48322.048	0.5700	-0.6500					Santa Cruz	this study
198-1209A-18H-3,100-102	164.21	180.810	48331.910	0.6617	-0.4979			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,105-107	164.25	180.850	48338.484	0.6500	-0.6000					Santa Cruz	this study
198-1209A-18H-3,110-112	164.31	180.910	48348.346	0.6117	-0.5579			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,115-117	164.35	180.950	48354.921	0.5400	-0.6900					Santa Cruz	this study
198-1209A-18H-3,120-122	164.41	181.010	48364.782	0.6371	-0.5974			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,125-127	164.45	181.050	48371.357	0.3700	-0.7900					Santa Cruz	this study
198-1209A-18H-3,130-132	164.51	181.110	48388.738	0.6632	-0.5324			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-3,135-137	164.55	181.150	48400.325	0.5600	-0.6800					Santa Cruz	this study
198-1209A-18H-3,138-140	164.59	181.190	48411.912	0.7507	-0.4588			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-18H-7,14-16	166.25	181.260	48432.190	0.6218	-0.5926			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-18H-7,19-21	166.30	181.307	48446.674	0.7112	-0.4253			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-18H-7,24-26	166.35	181.353	48458.261							Bremen	this study
198-1209A-18H-4,20-22	164.91	181.510	48504.610							Bremen	this study
198-1209A-18H-4,22-24	164.93	181.530	48510.403	0.6095	-0.4905			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-4,25-27	164.96	181.560	48519.094							Bremen	this study
198-1209A-18H-4,35-37	165.05	181.650	48545.164	0.6900	-0.5500					Santa Cruz	this study
198-1209A-18H-4,35-37	165.06	181.660	48547.144							Bremen	this study
198-1209A-18H-4,38-40	165.09	181.690	48553.083	0.6824	-0.5504			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-4,45-47	165.15	181.750	48564.961	0.2700	-0.9550					Santa Cruz	this study
198-1209A-18H-4,50-52	165.21	181.810	48576.839	0.8375	-0.3603			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-4,55-57	165.25	181.850	48584.757	0.5200	-0.7800					Santa Cruz	this study
198-1209A-18H-4,55-57	165.26	181.860	48586.737	0.6518	-0.6254			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-4,60-62	165.31	181.910	48596.635	0.5732	-0.6442			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.07 per mil for d18O	Bremen	this study
198-1209A-18H-4,65-67	165.35	181.950	48604.554	0.6700	-0.6800					Santa Cruz	this study
198-1209A-18H-4,70-72	165.41	182.010	48616.432	0.7738	-0.5767			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-4,75-77	165.45	182.050	48624.350	0.5800	-0.7400					Santa Cruz	this study
198-1209A-18H-4,80-82	165.51	182.110	48636.228	0.7752	-0.5853			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-4,85-87	165.55	182.150	48644.147	0.7300	-0.6000					Santa Cruz	this study
198-1209A-18H-4,90-92	165.61	182.210	48656.025	0.8299	-0.6174			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-4,95-97	165.65	182.250	48663.944	0.5100	-0.9000					Santa Cruz	this study
198-1209A-18H-4,100-102	165.71	182.310	48675.822	0.6035	-0.6068			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-4,105-107	165.75	182.350	48683.740	0.9100	-0.8600					Santa Cruz	this study
198-1209A-18H-4,110-112	165.81	182.410	48695.618	0.8211	-0.4783			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-4,115-117	165.85	182.441	48701.755	0.8600	-0.5600					Santa Cruz	this study
198-1209C-8H-1,72-74	165.23	182.480	48709.476	0.9665	-0.3535			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-4,125-127	165.95	182.519	48717.197	0.8200	-0.6400					Santa Cruz	this study
198-1209C-8H-1,80-82	165.31	182.560	48725.313	0.9045	-0.4340			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-4,135-137	166.05	182.597	48732.638	0.6600	-0.8000					Santa Cruz	this study
198-1209C-8H-1,88-90	165.39	182.640	48741.150	0.8457	-0.6096			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-4,145-147	166.15	182.675	48748.079	0.7400	-0.7100					Santa Cruz	this study
198-1209C-8H-1,95-97	165.46	182.710	48755.008	0.7850	-0.5643			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-5,5-7	166.25	182.753	48763.521	0.6800	-0.6800					Santa Cruz	this study
198-1209C-8H-1,103-105	165.54	182.790	48770.845	0.8503	-0.5335			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-5,15-17	166.35	182.831	48778.962	0.7300	-0.6600					Santa Cruz	this study
198-1209C-8H-1,111-113	165.62	182.870	48786.683	0.9079	-0.4675			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-5,25-27	166.45	182.908	48794.205	0.6700	-0.7100					Santa Cruz	this study
198-1209C-8H-1,119-121	165.70	182.950	48802.520	0.7138	-0.6922			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-5,35-37	166.55	182.986	48809.647	0.7100	-0.6800					Santa Cruz	this study
198-1209C-8H-1,127-129	165.78	183.030	48818.357	0.8047	-0.5483			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-5,45-47	166.65	183.064	48825.088	0.7600	-0.6400					Santa Cruz	this study
198-1209C-8H-1,134-136	165.85	183.100	48832.215	0.8892	-0.4507			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-5,55-57	166.75	183.142	48840.529	0.6100	-0.7500					Santa Cruz	this study
198-1209C-8H-1,142-144	165.93	183.180	48848.052	0.6857	-0.6384			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209A-18H-5,65-67	166.85	183.220	48855.971	0.6000	-0.8000					Santa Cruz	this study
198-1209A-18H-5,75-77	166.95	183.298	48871.412	0.5200	-0.9300					Santa Cruz	this study
198-1209A-18H-6,5-7	167.04	183.368	48885.270	0.8370	-0.6160					Santa Cruz	this study
198-1209C-8H-2,15-17	166.16	183.410	48893.584	0.8771	-0.3703			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-6,15-17	167.14	183.446	48900.711	0.7800	-0.7020					Santa Cruz	this study
198-1209A-18H-6,25-27	167.24	183.524	48916.153	0.8440	-0.4930					Santa Cruz	this study
198-1209A-18H-6,35-37	167.34	183.602	48931.594	0.6810	-0.6420					Santa Cruz	this study
198-1209C-8H-2,39-41	166.40	183.650	48941.096							Bremen	this study
198-1209C-8H-2,44-46	166.45	183.700	48950.995	1.0065	-0.2599			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209C-8H-2,49-51	166.50	183.750	48960.893							Bremen	this study
198-1209C-8H-2,54-56	166.55	183.800	48970.791	0.8558	-0.3327			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209C-8H-2,59-61	166.60	183.850	48980.689	0.8254	-0.3631			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209C-8H-2,64-66	166.65	183.900	48990.588							Bremen	this study
198-1209A-18H-6,75-77	167.74	183.913	48993.161	0.6050	-0.7860					Santa Cruz	this study
198-1209A-18H-6,95-97	167.94	184.085	49027.212	0.8120	-0.6360					Santa Cruz	this study
198-1209C-8H-2,89-91	166.90	184.150	49040.079							Bremen	this study
198-1209C-8H-2,94-96	166.95	184.200	49049.978	0.6561	-0.4910			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209C-8H-2,99-101	167.00	184.250	49059.876							Bremen	this study
198-1209C-8H-2,104-106	167.05	184.300	49069.774	0.7886	-0.4265			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209C-8H-2,109-111	167.10	184.350	49079.673							Bremen	this study
198-1209C-8H-2,114-116	167.15	184.400	49089.571	0.5745	-0.6533			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209C-8H-2,119-121	167.20	184.450	49099.469							Bremen	this study
198-1209C-8H-2,124-126	167.25	184.500	49109.367	0.8069	-0.3688			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209C-8H-2,129-131	167.30	184.550	49119.266							Bremen	this study
198-1209C-8H-2,134-136	167.35	184.600	49129.164	0.6235	-0.4841			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209C-8H-2,139-141	167.40	184.650	49139.062							Bremen	this study
198-1209B-19H-1,89-91	167.50	184.700	49148.961							Bremen	this study
198-1209B-19H-1,94-96	167.55	184.750	49158.859	0.0111	-1.0057			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209A-18H-7,17-19	168.66	184.784	49164.536							Bremen	this study
198-1209B-19H-1,99-101	167.60	184.800	49168.320							Bremen	this study
198-1209A-18H-7,21-23	168.70	184.820	49172.104	0.5627	-0.6894			Finnigan MAT 251; Kiel III	(Solnhofen limestone) 0.04 per mil for d13C; 0.06 per mil for d18O	Bremen	this study
198-1209B-19H-1,104-106	167.65	184.850	49177.781							Bremen	this study
198-1209B-19H-1,105-107	167.65	184.850	49177.781	0.5590	-0.7330	0.346	-0.019			Santa Cruz	this study
198-1209A-18H-7,25-27	168.74	184.859	49179.484	0.3880	-0.9690					Santa Cruz	this study
198-1209B-19H-1,109-111	167.70	184.900	49187.242	0.5894	-0.5965			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-19H-1,115-117	167.75	184.950	49196.703	0.6100	-0.8190					Santa Cruz	this study
198-1209A-18H-7,35-37	168.84	184.956	49197.838	0.4100	-1.0170					Santa Cruz	this study
198-1209B-19H-1,119-121	167.80	185.000	49206.163	0.4131	-0.9473			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-19H-1,125-127	167.85	185.050	49215.624	0.4230	-1.0030					Santa Cruz	this study
198-1209B-19H-1,129-131	167.90	185.100	49225.085	0.6424	-0.6985			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-19H-1,135-137	167.95	185.150	49234.546	0.6160	-0.5390					Santa Cruz	this study
198-1209A-18H-7,55-57	169.04	185.153	49235.114	0.4850	-0.9520					Santa Cruz	this study
198-1209B-19H-1,139-141	168.00	185.200	49244.007	0.6337	-0.7295			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-19H-1,145-147	168.05	185.250	49253.468	0.6330	-0.7980					Santa Cruz	this study
198-1209A-18H-7,65-67	169.14	185.253	49254.036	0.5100	-0.9230					Santa Cruz	this study
198-1209B-19H-1,148-150	168.09	185.290	49261.037	0.6558	-0.7194			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-19H-2,5-7	168.15	185.350	49272.390	0.5920	-0.8520					Santa Cruz	this study
198-1209B-19H-2,9-11	168.20	185.400	49281.851	0.6668	-0.7296			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
198-1209B-19H-2,15-17	168.25	185.450	49291.312	0.6440	-0.7880					Santa Cruz	this study
198-1209B-19H-2,19-21	168.30	185.500	49300.772	0.6166	-0.7571			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-19H-2,25-27	168.35	185.550	49310.233			0.390	-0.199			Santa Cruz	this study
198-1209B-19H-2,29-31	168.40	185.600	49319.694	0.6844	-0.6495			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-19H-2,35-37	168.45	185.650	49329.155			0.698	-0.012			Santa Cruz	this study
198-1209B-19H-2,39-41	168.50	185.700	49338.616	0.7983	-0.4337			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-19H-2,45-47	168.55	185.750	49348.077			0.350	-0.030			Santa Cruz	this study
198-1209B-19H-2,49-51	168.60	185.800	49357.538							Bremen	this study
198-1209B-19H-2,55-57	168.65	185.850	49366.999			0.443	-0.130			Santa Cruz	this study
198-1209B-19H-2,59-61	168.70	185.900	49376.460	0.7240	-0.5544			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-19H-2,65-67	168.75	185.950	49385.921			0.442	-0.095			Santa Cruz	this study
198-1209B-19H-2,69-71	168.80	186.000	49395.381	0.8239	-0.5262			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.02 per mil for d13C; 0.04 per mil for d18O	Bremen	this study
198-1209B-19H-2,75-77	168.85	186.050	49404.842			0.343	-0.202			Santa Cruz	this study
198-1209B-19H-2,79-81	168.90	186.100	49414.303	0.5846	-0.7383			Finnigan MAT 251; Kiel I	(Solnhofen limestone) 0.03 per mil for d13C; 0.05 per mil for d18O	Bremen	this study
